warmup=0  skip_sdma0=1

=== load: carregando checkpoint (ainda sem tracer) ===
    carregado em 6.0s

=== clip: encode do prompt ===
   263 [clip        ] ANTES  aten.detach.default                          (768, 3072):float16:cpu
   264 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   265 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   266 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   267 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   268 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   269 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   270 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   271 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   272 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   273 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   274 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   275 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   276 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   277 [clip        ] ANTES  aten.detach.default                          (3072, 768):float16:cpu
   278 [clip        ] ANTES  aten.detach.default                          (3072,):float16:cpu
   279 [clip        ] ANTES  aten.detach.default                          (768, 3072):float16:cpu
   280 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   281 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   282 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   283 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   284 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   285 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   286 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   287 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   288 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   289 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   290 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   291 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   292 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   293 [clip        ] ANTES  aten.detach.default                          (3072, 768):float16:cpu
   294 [clip        ] ANTES  aten.detach.default                          (3072,):float16:cpu
   295 [clip        ] ANTES  aten.detach.default                          (768, 3072):float16:cpu
   296 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   297 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   298 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   299 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   300 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   301 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   302 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   303 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   304 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   305 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   306 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   307 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   308 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   309 [clip        ] ANTES  aten.detach.default                          (3072, 768):float16:cpu
   310 [clip        ] ANTES  aten.detach.default                          (3072,):float16:cpu
   311 [clip        ] ANTES  aten.detach.default                          (768, 3072):float16:cpu
   312 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   313 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   314 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   315 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   316 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   317 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   318 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   319 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   320 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   321 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   322 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   323 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   324 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
