9	B5898240	5898240	0x7fbd94a00000	0x172400000	A5898240	0x46d400000
9	B2621440	2621440	0x7fbd94400000	0x172000000	A2621440	0x46a800000
10	A8028160	8028160	0x7fbd9da00000	0x46d800000	?	?
10	A10485760	10485760	0x7fbd9ce00000	0x469000000	A6922240	0x171000000
10	A6922240	6922240	0x7fbd9c400000	0x171000000	B10485760	0x173000000
10	A5898240	5898240	0x7fbd97800000	0x46d400000	B5898240	0x172400000
10	A2621440	2621440	0x7fbd97200000	0x46a800000	B6922240	0x172800000
10	B8028160	8028160	0x7fbd96800000	0x173800000	B2621440	0x172000000
10	B10485760	10485760	0x7fbd95c00000	0x173000000	A8028160	0x46d800000
10	B6922240	6922240	0x7fbd95200000	0x172800000	A10485760	0x469000000
10	B5898240	5898240	0x7fbd94a00000	0x172400000	A5898240	0x46d400000
10	B2621440	2621440	0x7fbd94400000	0x172000000	A2621440	0x46a800000
11	A8028160	8028160	0x7fbd9da00000	0x46d800000	?	?
11	A10485760	10485760	0x7fbd9ce00000	0x469000000	A6922240	0x171000000
11	A6922240	6922240	0x7fbd9c400000	0x171000000	B10485760	0x173000000
11	A5898240	5898240	0x7fbd97800000	0x46d400000	B5898240	0x172400000
11	A2621440	2621440	0x7fbd97200000	0x46a800000	B6922240	0x172800000
11	B8028160	8028160	0x7fbd96800000	0x173800000	B2621440	0x172000000
11	B10485760	10485760	0x7fbd95c00000	0x173000000	A8028160	0x46d800000
11	B6922240	6922240	0x7fbd95200000	0x172800000	A10485760	0x469000000
11	B5898240	5898240	0x7fbd94a00000	0x172400000	A5898240	0x46d400000
11	B2621440	2621440	0x7fbd94400000	0x172000000	A2621440	0x46a800000
12	A8028160	8028160	0x7fbd9da00000	0x46d800000	?	?
12	A10485760	10485760	0x7fbd9ce00000	0x469000000	A6922240	0x171000000
12	A6922240	6922240	0x7fbd9c400000	0x171000000	B10485760	0x173000000
12	A5898240	5898240	0x7fbd97800000	0x46d400000	B5898240	0x172400000
12	A2621440	2621440	0x7fbd97200000	0x46a800000	B6922240	0x172800000
12	B8028160	8028160	0x7fbd96800000	0x173800000	B2621440	0x172000000
12	B10485760	10485760	0x7fbd95c00000	0x173000000	A8028160	0x46d800000
12	B6922240	6922240	0x7fbd95200000	0x172800000	A10485760	0x469000000
12	B5898240	5898240	0x7fbd94a00000	0x172400000	A5898240	0x46d400000
12	B2621440	2621440	0x7fbd94400000	0x172000000	A2621440	0x46a800000
13	A8028160	8028160	0x7fbd9da00000	0x46d800000	?	?
13	A10485760	10485760	0x7fbd9ce00000	0x469000000	A6922240	0x171000000
13	A6922240	6922240	0x7fbd9c400000	0x171000000	B10485760	0x173000000
13	A5898240	5898240	0x7fbd97800000	0x46d400000	B5898240	0x172400000
13	A2621440	2621440	0x7fbd97200000	0x46a800000	B6922240	0x172800000
13	B8028160	8028160	0x7fbd96800000	0x173800000	B2621440	0x172000000
13	B10485760	10485760	0x7fbd95c00000	0x173000000	A8028160	0x46d800000
13	B6922240	6922240	0x7fbd95200000	0x172800000	A10485760	0x469000000
13	B5898240	5898240	0x7fbd94a00000	0x172400000	A5898240	0x46d400000
13	B2621440	2621440	0x7fbd94400000	0x172000000	A2621440	0x46a800000
14	A8028160	8028160	0x7fbd9da00000	0x46d800000	?	?
14	A10485760	10485760	0x7fbd9ce00000	0x469000000	A6922240	0x171000000
14	A6922240	6922240	0x7fbd9c400000	0x171000000	B10485760	0x173000000
14	A5898240	5898240	0x7fbd97800000	0x46d400000	B5898240	0x172400000
14	A2621440	2621440	0x7fbd97200000	0x46a800000	B6922240	0x172800000
14	B8028160	8028160	0x7fbd96800000	0x173800000	B2621440	0x172000000
14	B10485760	10485760	0x7fbd95c00000	0x173000000	A8028160	0x46d800000
